nohup: ignoring input
14:20:58 INFO chudp: config configs/finetune.toml: {'finetune': {'context': 1024, 'covariates': 'full', 'start': '2025-12-15', 'val_frac': 0.15, 'test_frac': 0.15, 'embargo_bars': 1440, 'trainable': 'all', 'precision': 'fp32', 'loss_scale': 'none', 'lr': 1e-05, 'warmup_steps': 100, 'max_steps': 6400, 'batch_size': 32, 'micro_batch': 8, 'eval_every': 400, 'eval_samples': 16384, 'patience': 0, 'device': 'auto'}}
14:20:58 INFO chudp: resolved config: FinetuneConfig(context=1024, horizon=64, covariates='full', max_ctx_gap_frac=0.01, require_quote_ok=False, start=datetime.date(2025, 12, 15), end=None, val_frac=0.15, test_frac=0.15, val_start=None, test_start=None, embargo_bars=1440, model_id='google/timesfm-3.0-pytorch', device=None, precision='fp32', trainable='all', loss_scale='none', lr=1e-05, min_lr_frac=0.1, weight_decay=0.01, warmup_steps=100, max_steps=6400, batch_size=32, micro_batch=8, grad_clip=1.0, eval_every=400, eval_samples=16384, eval_batch=32, patience=0, log_every=20, seed=0, run_id=None)
14:21:00 INFO chud_predictor.finetune: train targets in [2025-12-19 06:57:00, 2026-06-27 00:00:00): 203750 origins
14:21:00 INFO chud_predictor.finetune: val   targets in [2026-06-28 00:00:00, 2026-08-06 00:00:00): 46580 origins
14:21:00 INFO chud_predictor.finetune: test  targets in [2026-08-07 00:00:00, 2026-09-17 02:00:00): 45708 origins
14:21:00 INFO chud_predictor.model: loading google/timesfm-3.0-pytorch on cuda (AMD Instinct MI300X VF, torch 2.14.0+rocm7.2) (batch 32)
14:21:02 INFO chud_predictor.finetune: trainable parameters: 330.7M of 330.7M (all); 25 variates
14:44:52 INFO chud_predictor.finetune: step 740/6400  train_loss=0.07229  grad_norm=0.111  lr=9.77e-06  epoch=1  21.3 origins/s
14:45:18 INFO chud_predictor.finetune: step 760/6400  train_loss=0.07444  grad_norm=0.074  lr=9.76e-06  epoch=1  21.4 origins/s
14:45:44 INFO chud_predictor.finetune: step 780/6400  train_loss=0.07763  grad_norm=0.068  lr=9.74e-06  epoch=1  21.4 origins/s
14:46:10 INFO chud_predictor.finetune: step 800/6400  train_loss=0.07810  grad_norm=0.082  lr=9.73e-06  epoch=1  21.5 origins/s
14:48:46 INFO chud_predictor.finetune: step 800 val: pinball_c=7.7045  pinball_c_fan=7.5502  skill_pinball=-0.0204  rmse_c=29.8111  skill_mse=-0.0187  skill_mae=0.0029  cover80=0.7419  settle_bss_persist=-0.0413  *best*
14:49:13 INFO chud_predictor.finetune: step 820/6400  train_loss=0.07422  grad_norm=0.079  lr=9.71e-06  epoch=1  19.1 origins/s
14:49:39 INFO chud_predictor.finetune: step 840/6400  train_loss=0.07478  grad_norm=0.062  lr=9.70e-06  epoch=1  19.2 origins/s
14:50:04 INFO chud_predictor.finetune: step 860/6400  train_loss=0.07314  grad_norm=0.067  lr=9.68e-06  epoch=1  19.3 origins/s
14:50:30 INFO chud_predictor.finetune: step 880/6400  train_loss=0.07283  grad_norm=0.082  lr=9.66e-06  epoch=1  19.4 origins/s
14:50:56 INFO chud_predictor.finetune: step 900/6400  train_loss=0.07136  grad_norm=0.063  lr=9.65e-06  epoch=1  19.5 origins/s
14:51:22 INFO chud_predictor.finetune: step 920/6400  train_loss=0.07576  grad_norm=0.073  lr=9.63e-06  epoch=1  19.6 origins/s
14:51:47 INFO chud_predictor.finetune: step 940/6400  train_loss=0.07314  grad_norm=0.066  lr=9.61e-06  epoch=1  19.7 origins/s
14:52:13 INFO chud_predictor.finetune: step 960/6400  train_loss=0.07866  grad_norm=0.087  lr=9.59e-06  epoch=1  19.8 origins/s
14:52:39 INFO chud_predictor.finetune: step 980/6400  train_loss=0.07406  grad_norm=0.079  lr=9.57e-06  epoch=1  19.9 origins/s
14:52:41 WARNING chud_predictor.finetune: step 982: non-finite gradient, update skipped (4 so far)
14:53:04 INFO chud_predictor.finetune: step 1000/6400  train_loss=0.07524  grad_norm=0.069  lr=9.55e-06  epoch=1  19.9 origins/s
14:53:30 INFO chud_predictor.finetune: step 1020/6400  train_loss=0.07861  grad_norm=0.054  lr=9.53e-06  epoch=1  20.0 origins/s
14:53:56 INFO chud_predictor.finetune: step 1040/6400  train_loss=0.07572  grad_norm=0.064  lr=9.51e-06  epoch=1  20.1 origins/s
14:54:22 INFO chud_predictor.finetune: step 1060/6400  train_loss=0.07140  grad_norm=0.059  lr=9.49e-06  epoch=1  20.2 origins/s
14:54:48 INFO chud_predictor.finetune: step 1080/6400  train_loss=0.07670  grad_norm=0.076  lr=9.47e-06  epoch=1  20.2 origins/s
14:55:14 INFO chud_predictor.finetune: step 1100/6400  train_loss=0.07246  grad_norm=0.071  lr=9.45e-06  epoch=1  20.3 origins/s
